,iso_code,year,percent
186,BRA,2012,15.28545576
187,BRA,2013,14.60990092
188,BRA,2014,13.98993477
189,BRA,2015,13.59465562
190,BRA,2016,12.65867601
191,BRA,2017,12.70662947
192,BRB,2010,28.21681441
193,BRB,2011,29.30348967
194,BRB,2012,27.03352956
195,BRB,2013,26.23023054
196,BRB,2014,25.18301447
197,BRB,2015,24.68624082
198,BRB,2016,23.45919984
199,BRB,2017,23.0801758
200,BRN,2010,7.417004403
201,BRN,2011,7.366187122
202,BRN,2012,7.570822949
203,BRN,2013,6.709489683
204,BRN,2014,6.180830115
205,BRN,2015,6.484179774
206,BRN,2016,5.927600072
207,BRN,2017,5.903065468
208,BTN,2010,43.96188317
209,BTN,2011,43.07170329
210,BTN,2012,42.93227289
211,BTN,2013,41.88190701
212,BTN,2014,40.83967373
213,BTN,2015,39.81863873
214,BTN,2016,37.22436394
215,BTN,2017,37.9265032
216,BWA,2010,25.72472072
217,BWA,2011,24.59211459
218,BWA,2012,24.85403894
219,BWA,2013,24.87425931
220,BWA,2014,24.15127779
221,BWA,2015,24.33025796
222,BWA,2016,23.63126742
223,BWA,2017,23.09438618
224,CAF,2010,51.53331961
225,CAF,2011,51.22953137
226,CAF,2012,53.35883384
227,CAF,2013,50.87491368
228,CAF,2014,49.35636376
229,CAF,2015,58.32609851
230,CAF,2016,56.98542248
231,CAF,2017,56.82849738
232,CAN,2010,8.384457262
233,CAN,2011,8.62446106
234,CAN,2012,8.107410495
235,CAN,2013,7.791636125
236,CAN,2014,7.428419864
237,CAN,2015,7.151582145
238,CAN,2016,6.549074761
239,CAN,2017,6.428383133
240,CHE,2010,12.92221973
241,CHE,2011,13.04922122
242,CHE,2012,12.26138801
243,CHE,2013,11.82005499
244,CHE,2014,11.38910719
245,CHE,2015,11.16525468
246,CHE,2016,10.34263047
247,CHE,2017,10.3031001
248,CHL,2010,25.89229169
249,CHL,2011,27.24586707
250,CHL,2012,25.0471553
251,CHL,2013,23.9366936
252,CHL,2014,22.86825181
253,CHL,2015,22.56979255
254,CHL,2016,20.87687041
255,CHL,2017,21.03629906
256,CHN,2010,69.47957041
257,CHN,2011,70.54202883
258,CHN,2012,63.82701684
259,CHN,2013,65.51455022
260,CHN,2014,59.76736751
261,CHN,2015,59.06342246
262,CHN,2016,52.21132204
263,CHN,2017,52.66459583
264,CMR,2010,59.29340315
265,CMR,2011,58.07690148
266,CMR,2012,62.776697
267,CMR,2013,58.18633815
268,CMR,2014,56.71530558
269,CMR,2015,77.05174298
270,CMR,2016,73.20529127
271,CMR,2017,72.79309622
272,COL,2010,21.49784542
273,COL,2011,21.36777875
274,COL,2012,20.53663622
275,COL,2013,19.22334802
276,COL,2014,18.34420526
277,COL,2015,17.30028428
278,COL,2016,16.58060037
279,COL,2017,16.52721022
280,COM,2010,20.66635788
281,COM,2011,21.02016044
282,COM,2012,21.2526292
283,COM,2013,21.04796184
284,COM,2014,21.50207199
285,COM,2015,20.71555746
286,COM,2016,20.48272773
287,COM,2017,20.5468246
288,CPV,2010,27.59644067
289,CPV,2011,31.64177817
290,CPV,2012,32.94099303
291,CPV,2013,32.08584342
292,CPV,2014,31.62108111
293,CPV,2015,38.63361366
294,CPV,2016,33.39233075
295,CPV,2017,34.7787001
296,CRI,2010,19.27295272
297,CRI,2011,19.70213293
298,CRI,2012,19.33512768
299,CRI,2013,18.34151711
300,CRI,2014,17.54363411
301,CRI,2015,16.87928994
302,CRI,2016,15.65581227
303,CRI,2017,15.7259203
304,CUB,2010,23.93329773
305,CUB,2011,24.78731963
306,CUB,2012,23.23978714
307,CUB,2013,22.85074328
308,CUB,2014,21.29623433
309,CUB,2015,20.86409957
310,CUB,2016,19.73784135
311,CUB,2017,19.7060474
312,CYP,2010,20.08186599
313,CYP,2011,20.09096399
314,CYP,2012,19.22484321
315,CYP,2013,18.68454574
316,CYP,2014,18.29352737
317,CYP,2015,19.10134763
318,CYP,2016,16.9580216
319,CYP,2017,17.2944062
320,DEU,2010,15.18949496
321,DEU,2011,14.66422844
322,DEU,2012,13.57764226
323,DEU,2013,13.19191946
324,DEU,2014,12.75122057
325,DEU,2015,12.82609758
326,DEU,2016,11.93781112
327,DEU,2017,12.02876736
328,DJI,2010,38.24086927
329,DJI,2011,40.44183546
330,DJI,2012,39.94282079
331,DJI,2013,40.10377303
332,DJI,2014,41.25972754
333,DJI,2015,45.95080851
334,DJI,2016,45.86887513
335,DJI,2017,45.5496176
336,DMA,2010,23.74074619
337,DMA,2011,24.27612298
338,DMA,2012,22.21579925
339,DMA,2013,22.15106827
340,DMA,2014,21.01030747
341,DMA,2015,20.68878863
342,DMA,2016,19.98814835
343,DMA,2017,19.49315376
344,DNK,2010,11.92914817
345,DNK,2011,12.66233138
346,DNK,2012,11.11552501
347,DNK,2013,10.82027884
348,DNK,2014,11.06670453
349,DNK,2015,10.65728566
350,DNK,2016,10.09597196
351,DNK,2017,10.02965344
352,DOM,2010,16.87446546
353,DOM,2011,17.29977986
354,DOM,2012,16.15283991
355,DOM,2013,15.39695063
356,DOM,2014,14.1880737
357,DOM,2015,14.85822076
358,DOM,2016,13.69022772
359,DOM,2017,13.72632115
360,DZA,2010,33.63582026
361,DZA,2011,33.83404774
362,DZA,2012,33.3668262
363,DZA,2013,34.24532791
364,DZA,2014,35.56391718
365,DZA,2015,36.08916357
366,DZA,2016,39.85327385
367,DZA,2017,38.8840107
368,ECU,2010,19.97918812
369,ECU,2011,19.321995
370,ECU,2012,19.55771048
371,ECU,2013,18.1186093
372,ECU,2014,16.23418751
373,ECU,2015,15.69970761
374,ECU,2016,14.98157801
