iso_code,year,oil_co2_per_capita,oil_co2,share_global_oil_co2,cumulative_oil_co2,share_global_cumulative_oil_co2,co2_growth_abs,co2_per_capita,co2,share_global_co2,cumulative_co2,share_global_cumulative_co2,co2_growth_prct,population,AvgYearlyTemp,AvgTempUncertainty
CAN,1862,0.002,0.007,0.52,0.007,0.26,0.103,0.163,0.561,0.16,3.334,0.04,22.4,3432503.0,-6.415499999999999,2.2969166666666667
EST,1862,0.0,0.0,0.0,0.0,0.01,-0.001,0.014,0.008,0.0,0.039,0.0,-9.79,553478.0,2.544666666666666,1.2758333333333334
FRA,1862,0.001,0.048,3.41,0.359,12.56,2.283,1.164,43.525,12.29,732.053,9.07,5.53,37395401.0,12.939916666666669,1.309416666666667
GEO,1862,0.0,0.0,0.02,0.001,0.03,0.0,0.002,0.003,0.0,0.016,0.0,-9.79,1573328.0,6.658499999999999,1.5672500000000005
KAZ,1862,0.0,0.0,0.02,0.001,0.03,-0.006,0.017,0.051,0.01,0.255,0.0,-9.79,2986706.0,3.684166666666668,2.31125
KGZ,1862,0.0,0.0,0.01,0.0,0.01,0.0,0.006,0.005,0.0,0.023,0.0,-9.78,777379.0,2.004916666666667,2.544916666666667
LTU,1862,0.001,0.001,0.06,0.003,0.09,-0.001,0.006,0.008,0.0,0.04,0.0,-9.79,1443149.0,4.068916666666666,1.2554999999999998
LVA,1862,0.0,0.0,0.03,0.001,0.05,-0.001,0.004,0.005,0.0,0.026,0.0,-9.79,1167257.0,3.2154166666666675,1.276166666666667
ROU,1862,0.001,0.011,0.79,0.029,1.03,0.004,0.001,0.011,0.0,0.029,0.0,50.0,8672198.0,8.43075,1.622916666666667
TJK,1862,0.0,0.0,0.01,0.0,0.01,0.0,0.004,0.003,0.0,0.013,0.0,-9.79,683387.0,2.899916666666668,2.363666666666666
TKM,1862,0.002,0.001,0.07,0.003,0.1,-0.001,0.012,0.007,0.0,0.032,0.0,-9.79,538445.0,13.512666666666664,2.3975000000000004
UKR,1862,0.0,0.001,0.09,0.004,0.14,-0.016,0.009,0.15,0.04,0.744,0.01,-9.79,16493062.0,6.389666666666668,1.3711666666666666
UZB,1862,0.001,0.002,0.13,0.005,0.18,-0.002,0.008,0.021,0.01,0.104,0.0,-9.79,2807990.0,11.02225,2.6283333333333334
ARM,1863,0.0,0.0,0.02,0.001,0.01,0.0,0.003,0.002,0.0,0.011,0.0,4.72,610399.0,7.752833333333335,1.4946666666666666
AZE,1863,0.005,0.007,0.52,0.022,0.54,0.0,0.008,0.011,0.0,0.062,0.0,4.72,1303919.0,10.45725,1.5020833333333334
BLR,1863,0.001,0.004,0.31,0.012,0.28,0.001,0.006,0.023,0.01,0.129,0.0,4.72,3491836.0,7.074083333333334,1.4624166666666667
CAN,1863,0.01,0.033,2.56,0.04,0.97,0.143,0.203,0.703,0.19,4.038,0.05,25.49,3471019.0,-5.663166666666666,2.3394166666666667
EST,1863,0.0,0.0,0.01,0.0,0.01,0.0,0.015,0.008,0.0,0.047,0.0,4.72,560152.0,6.197083333333333,1.39125
FRA,1863,0.001,0.051,3.97,0.41,9.88,0.663,1.178,44.188,11.69,776.24,9.18,1.52,37497267.0,12.926166666666669,1.4632500000000002
GEO,1863,0.0,0.0,0.03,0.001,0.03,0.0,0.002,0.003,0.0,0.019,0.0,4.74,1587734.0,7.441666666666666,1.41425
KAZ,1863,0.0,0.001,0.04,0.002,0.04,0.002,0.018,0.054,0.01,0.308,0.0,4.72,3013322.0,5.695249999999999,2.085916666666667
KGZ,1863,0.0,0.0,0.01,0.0,0.01,0.0,0.006,0.005,0.0,0.027,0.0,4.72,784425.0,3.3351666666666664,2.407583333333333
LTU,1863,0.001,0.001,0.11,0.004,0.1,0.0,0.006,0.008,0.0,0.048,0.0,4.72,1464552.0,7.149166666666667,1.40775
LVA,1863,0.001,0.001,0.05,0.002,0.05,0.0,0.005,0.005,0.0,0.031,0.0,4.73,1186200.0,6.600666666666668,1.3837500000000005
NLD,1863,0.003,0.011,0.85,0.011,0.26,-1.587,1.202,4.085,1.08,73.632,0.87,-27.97,3398611.0,10.063916666666666,1.2931666666666668
ROU,1863,0.001,0.011,0.85,0.04,0.97,0.0,0.001,0.011,0.0,0.04,0.0,0.0,8730665.0,9.509916666666667,1.7573333333333334
TJK,1863,0.0,0.0,0.02,0.001,0.02,0.0,0.004,0.003,0.0,0.016,0.0,4.73,689531.0,3.9395833333333337,2.279666666666667
TKM,1863,0.003,0.002,0.12,0.004,0.11,0.0,0.013,0.007,0.0,0.039,0.0,4.72,543340.0,14.401000000000002,2.39625
UKR,1863,0.0,0.002,0.17,0.006,0.15,0.007,0.01,0.157,0.04,0.902,0.01,4.72,16647046.0,8.380166666666668,1.3870000000000002
UZB,1863,0.001,0.003,0.22,0.008,0.19,0.001,0.008,0.022,0.01,0.126,0.0,4.72,2833010.0,12.211333333333334,2.5245
ARM,1864,0.0,0.0,0.03,0.001,0.02,0.0,0.003,0.002,0.0,0.013,0.0,12.17,615858.0,8.128833333333334,1.37625
AUT,1864,0.002,0.011,0.99,0.011,0.21,-0.802,1.167,5.075,1.25,97.942,1.11,-13.65,4348096.0,4.609333333333335,1.0127500000000005
